ProductType;RuleName;ESAProductType
S3_SL_1_N_F2AX;S3_AX;SL_1_N_F2AX
S3_SL_1_N_S1AX;S3_AX;SL_1_N_S1AX
S3_SL_1_N_S2AX;S3_AX;SL_1_N_S2AX
S3_SL_1_N_S3AX;S3_AX;SL_1_N_S3AX
S3_SL_1_N_S7AX;S3_AX;SL_1_N_S7AX
S3_SL_1_N_S8AX;S3_AX;SL_1_N_S8AX
S3_SL_1_N_S9AX;S3_AX;SL_1_N_S9AX
S3_SL_1_OAS4AX;S3_AX;SL_1_OAS4AX
S3_SL_1_OAS5AX;S3_AX;SL_1_OAS5AX
S3_SL_1_OAS6AX;S3_AX;SL_1_OAS6AX
S3_SL_1_OBS4AX;S3_AX;SL_1_OBS4AX
S3_SL_1_OBS5AX;S3_AX;SL_1_OBS5AX
S3_SL_1_OBS6AX;S3_AX;SL_1_OBS6AX
S3_SL_1_O_F1AX;S3_AX;SL_1_O_F1AX
S3_SL_1_O_F2AX;S3_AX;SL_1_O_F2AX
S3_SL_1_O_S1AX;S3_AX;SL_1_O_S1AX
S3_SL_1_O_S2AX;S3_AX;SL_1_O_S2AX
S3_SL_1_O_S3AX;S3_AX;SL_1_O_S3AX
S3_SL_1_O_S7AX;S3_AX;SL_1_O_S7AX
S3_SL_1_O_S8AX;S3_AX;SL_1_O_S8AX
S3_SL_1_O_S9AX;S3_AX;SL_1_O_S9AX
S3_SL_1_PCP_AX;S3_AX;SL_1_PCP_AX
S3_SL_1_RBT___;S3_SL;SL_1_RBT___
S3_SL_1_RTT_AX;S3_AX;SL_1_RTT_AX
S3_SL_1_VIC_AX;S3_AX;SL_1_VIC_AX
S3_SL_1_VSC_AX;S3_AX;SL_1_VSC_AX
S3_SL_2_D2_CAX;S3_AX;SL_2_D2_CAX
S3_SL_2_D3_CAX;S3_AX;SL_2_D3_CAX
S3_SL_2_F1N_AX;S3_AX;SL_2_F1N_AX
S3_SL_2_LSTCAX;S3_AX;SL_2_LSTCAX
S3_SL_2_LSTEAX;S3_AX;SL_2_LSTEAX
S3_SL_2_LST___;S3_SL;SL_2_LST___
S3_SL_2_N2_CAX;S3_AX;SL_2_N2_CAX
S3_SL_2_N3RCAX;S3_AX;SL_2_N3RCAX
S3_SL_2_N3_CAX;S3_AX;SL_2_N3_CAX
S3_SL_2_PCP_AX;S3_AX;SL_2_PCP_AX
S3_SL_2_S7N_AX;S3_AX;SL_2_S7N_AX
S3_SL_2_S7O_AX;S3_AX;SL_2_S7O_AX
S3_SL_2_S8N_AX;S3_AX;SL_2_S8N_AX
S3_SL_2_S8O_AX;S3_AX;SL_2_S8O_AX
S3_SL_2_S9N_AX;S3_AX;SL_2_S9N_AX
S3_SL_2_S9O_AX;S3_AX;SL_2_S9O_AX
S3_SL_2_SDI2AX;S3_AX;SL_2_SDI2AX
S3_SL_2_SDI3AX;S3_AX;SL_2_SDI3AX
S3_SL_2_SSESAX;S3_AX;SL_2_SSESAX
S3_SR_0_CAL___;S3_L0;SR_0_CAL___
S3_SR_0_SRA___;S3_L0;SR_0_SRA___
S3_SR_1_CA1LAX;S3_AX;SR_1_CA1LAX
S3_SR_1_CA1SAX;S3_AX;SR_1_CA1SAX
S3_SR_1_CA2CAX;S3_AX;SR_1_CA2CAX
S3_SR_1_CA2KAX;S3_AX;SR_1_CA2KAX
S3_SR_1_CAL___;S3_SR;SR_1_CAL___
